trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
68,0,68,0,145.92771839996567,,145.87252299999818,5,145.92771839996567,145.92771839996567,0.035422699991613626,147.41459749999922,[0.476],[0.348],[1],[0],[0],[1.5074549000128172],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
69,0,69,0,147.51067619997775,,147.42133559996728,10,147.51067619997775,147.51067619997775,0.058887799968943,149.47993089997908,[0.026],[-0.38],[1],[0],[0],[2.000309799972456],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
70,0,70,0,149.54480529995635,,149.48658899997827,5,149.54480529995635,149.54480529995635,0.031753099989145994,151.09827259997837,[-0.196],[-0.148],[1],[0],[0],[1.5806929000536911],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
71,0,71,0,151.16052659996785,,151.105155199999,5,151.16052659996785,151.16052659996785,0.032427300000563264,153.09817739995196,[0.326],[-0.218],[1],[0],[0],[1.9612409000401385],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
72,0,72,0,153.16116129996954,,153.1046503999969,5,153.16116129996954,153.16116129996954,0.03109459998086095,154.71490819996689,[-0.362],[0.228],[1],[0],[0],[1.5798781999619678],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
73,0,73,0,154.79432899999665,,154.72233169997344,10,154.79432899999665,154.79432899999665,0.05077889998210594,156.56534429994645,[-0.02],[0.092],[1],[0],[0],[1.793115200009197],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
74,0,74,0,156.62810379994335,,156.57228519994533,5,156.62810379994335,156.62810379994335,0.03247649996774271,157.9645179999643,[-0.152],[0.138],[1],[0],[0],[1.3605107999756],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
75,0,75,0,158.04431689996272,,157.97096589999273,10,158.04431689996272,158.04431689996272,0.04448759998194873,159.9801512999693,[-0.49],[-0.438],[1],[0],[0],[1.9652807000093162],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
76,0,76,0,160.04394529998535,,159.9871720999945,10,160.04394529998535,160.04394529998535,0.04026859998703003,161.68010699999286,[0.168],[0.338],[1],[0],[0],[1.6534448000020348],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
77,0,77,0,161.7437597999815,,161.68688619998284,10,161.7437597999815,161.7437597999815,0.046718799974769354,163.8309986999957,[0.4],[-0.382],[1],[0],[0],[2.097808000049554],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
78,0,78,0,163.8947736999835,,163.83767579996493,5,163.8947736999835,163.8947736999835,0.03408709994982928,165.71554159995867,[-0.284],[0.304],[1],[0],[0],[1.8444056999869645],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
79,0,79,0,165.7942144999979,,165.7220613999525,10,165.7942144999979,165.7942144999979,0.0580016000312753,167.61405009997543,[-0.384],[-0.49],[1],[0],[0],[1.8345929000061005],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
80,0,80,0,167.67787709995173,,167.6208828999661,5,167.67787709995173,167.67787709995173,0.03801950003253296,169.24808529997244,[-0.004],[0.372],[1],[0],[0],[1.5898065000073984],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
81,0,81,0,169.29382629995234,,169.25477809994482,5,169.29382629995234,169.29382629995234,0.03135950001887977,171.14717639994342,[0.102],[0.252],[1],[0],[0],[1.8618013000232168],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
82,0,82,0,171.24495109997224,,171.15420249995077,10,171.24495109997224,171.24495109997224,0.060559900011867285,173.21322419994976,[-0.228],[0.278],[1],[0],[0],[1.9992208000039682],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
83,0,83,0,173.29460069997003,,173.2199574999977,10,173.29460069997003,173.29460069997003,0.05960169999161735,175.38125669996953,[0.192],[0.378],[1],[0],[0],[2.1022476999787614],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
84,0,84,0,175.44494039996061,,175.38777619996108,5,175.44494039996061,175.44494039996061,0.029593200015369803,176.71633949998068,[0.156],[0.144],[1],[0],[0],[1.2996770999743603],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
85,0,85,0,176.81147509999573,,176.72366749995854,10,176.81147509999573,176.81147509999573,0.06254880002234131,178.54706729995087,[0.414],[0.356],[1],[0],[0],[1.761555299977772],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
86,0,86,0,178.61130319995573,,178.55426899995655,5,178.61130319995573,178.61130319995573,0.03285960003267974,180.04810969997197,[-0.432],[0.174],[1],[0],[0],[1.461906699987594],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
87,0,87,0,180.110564099974,,180.05474499997217,10,180.110564099974,180.110564099974,0.04242219997104257,182.71348839998245,[0.312],[-0.418],[1],[0],[0],[2.6169030999881215],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
88,0,88,0,182.79425669997,,182.72008699999424,10,182.79425669997,182.79425669997,0.05281600001035258,184.6803862999659,[0.482],[0.308],[1],[0],[0],[1.9082258000271395],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
89,0,89,0,184.77793579996796,,184.68753859994467,10,184.77793579996796,184.77793579996796,0.0630387999699451,186.43132409994723,[0.386],[0.34],[1],[0],[0],[1.6815888999844901],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
